Temperature,Humidity,Rain,Soil_Moisture,Crop_Type,Irrigation_Needed
24.2,76.9,No,40.4,Rice,Yes
27.0,21.8,No,24.3,Cotton,Yes
24.4,21.7,No,44.6,Cotton,No
22.2,44.3,No,38.7,Wheat,Yes
23.0,56.6,No,60.6,Rice,Yes
31.5,77.8,No,56.3,Rice,Yes
25.2,71.2,No,41.9,Rice,Yes
29.1,53.4,Yes,43.3,Cotton,No
32.6,40.5,Yes,99.4,Wheat,No
37.3,94.8,Yes,58.0,Cotton,No
21.0,52.0,No,61.3,Rice,Yes
40.0,53.9,No,28.4,Cotton,Yes
35.7,32.3,No,49.1,Cotton,No
22.0,79.6,Yes,36.9,Rice,Yes
41.8,72.0,Yes,69.6,Rice,No
43.0,36.6,No,77.8,Rice,Yes
21.5,26.2,No,43.1,Rice,Yes
26.9,71.0,No,22.3,Wheat,Yes
40.2,69.1,No,21.9,Wheat,Yes
38.7,40.5,No,43.3,Rice,Yes
24.6,91.3,Yes,43.9,Wheat,Yes
25.2,31.3,Yes,37.9,Rice,Yes
29.3,52.4,No,65.4,Rice,Yes
32.1,90.8,No,47.5,Rice,Yes
35.5,51.5,No,37.4,Wheat,Yes
29.2,67.9,No,74.0,Cotton,No
31.6,49.8,Yes,51.1,Rice,Yes
38.7,40.6,No,77.4,Wheat,Yes
20.9,93.8,No,38.8,Wheat,Yes
26.3,50.7,Yes,92.8,Rice,No
37.8,87.1,No,56.2,Wheat,No
42.4,37.2,No,69.6,Rice,Yes
32.8,36.0,No,79.0,Rice,Yes
33.3,22.3,No,37.3,Cotton,Yes
22.7,68.9,No,77.7,Cotton,No
31.2,47.6,No,43.4,Cotton,No
33.3,84.8,Yes,59.6,Rice,No
26.1,55.5,No,40.4,Rice,Yes
26.7,92.6,No,52.5,Wheat,No
29.4,33.9,No,29.2,Wheat,Yes
20.5,85.1,Yes,65.9,Rice,No
28.1,78.2,Yes,77.1,Wheat,No
25.3,77.8,Yes,77.4,Rice,No
28.2,83.4,No,70.0,Cotton,No
23.0,77.1,No,46.4,Rice,Yes
42.3,67.0,Yes,58.7,Wheat,No
34.8,29.8,Yes,51.9,Rice,Yes
37.0,22.4,No,31.7,Wheat,Yes
39.7,89.1,No,23.5,Wheat,Yes
32.5,66.2,No,40.5,Rice,Yes
22.2,79.7,Yes,49.3,Cotton,No
33.4,56.1,No,78.0,Cotton,No
34.7,28.8,No,53.5,Cotton,No
38.6,29.4,No,40.8,Cotton,No
30.8,71.4,No,54.8,Wheat,No
23.2,52.3,Yes,52.9,Cotton,No
27.1,35.0,No,46.6,Rice,Yes
29.1,56.9,No,57.6,Rice,Yes
36.1,24.8,No,49.3,Rice,Yes
34.3,63.6,No,44.1,Rice,Yes
28.9,40.2,No,79.6,Rice,Yes
44.7,79.8,No,72.8,Rice,No
35.1,43.3,Yes,76.4,Cotton,No
25.9,54.1,No,54.2,Rice,Yes
22.5,20.9,No,57.2,Rice,Yes
23.8,25.4,No,32.1,Wheat,Yes
26.1,49.4,Yes,53.9,Rice,Yes
24.0,56.0,Yes,46.8,Cotton,No
24.7,65.0,Yes,62.3,Rice,No
27.1,41.9,No,52.6,Cotton,No
24.3,72.1,No,33.7,Cotton,Yes
42.4,84.5,Yes,97.0,Rice,No
22.0,78.5,No,74.6,Rice,No
33.1,23.0,No,63.3,Cotton,No
30.3,56.0,No,52.0,Cotton,No
44.6,27.9,No,72.2,Cotton,No
22.8,38.2,No,27.8,Cotton,Yes
29.9,94.0,Yes,79.0,Rice,No
44.2,30.7,No,27.5,Rice,Yes
41.6,57.4,No,67.7,Rice,Yes
40.4,66.4,No,36.5,Cotton,Yes
26.4,72.7,No,72.6,Wheat,No
24.3,62.0,No,76.6,Rice,No
36.7,20.7,No,28.9,Rice,Yes
43.2,44.5,Yes,68.3,Rice,No
33.9,58.8,No,78.9,Rice,Yes
34.3,26.6,Yes,65.1,Cotton,No
27.0,46.3,Yes,82.0,Wheat,No
39.2,22.5,No,55.3,Cotton,No
24.7,25.9,No,42.5,Wheat,Yes
28.1,49.8,Yes,53.9,Rice,Yes
30.6,30.0,No,32.2,Cotton,Yes
32.7,62.6,No,65.7,Cotton,No
26.1,71.7,Yes,65.8,Wheat,No
22.9,80.0,No,50.7,Cotton,No
35.3,35.0,No,49.5,Wheat,No
27.2,32.6,No,54.6,Wheat,No
34.5,27.8,No,71.9,Wheat,No
23.9,67.7,Yes,89.0,Rice,No
32.0,73.0,No,44.5,Rice,Yes
33.3,22.4,No,69.7,Rice,Yes
21.3,90.2,Yes,87.1,Wheat,No
